Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
javascript,bytes,document,100,5,JSON.stringify,node-24.15.0,2706,3782,448,6488,369549.150037,264410.364886,154130.702836,0,1.00,1,c4a54cdecc67,112,12
javascript,bytes,document,100,5,flatbuffers,24.12.23,69335,27326,416,96661,14422.730223,36595.184074,10345.434043,0,1.00,1,c4a54cdecc67,113,13
javascript,bytes,document,100,5,cbor-x,1.6.4,28789,40141,234,68930,34735.489249,24912.184549,14507.471348,0,1.00,1,c4a54cdecc67,114,14
javascript,bytes,document,100,5,sia,2.3.0,40467,29737,547,70204,24711.493316,33628.140028,14244.202610,0,1.00,1,c4a54cdecc67,115,15
javascript,bytes,document,100,5,cbor,9.0.2,314030,167716,332,481746,3184.409133,5962.460350,2075.782674,0,1.00,1,c4a54cdecc67,116,16
javascript,bytes,document,100,5,bser,2.1.1,55939,57960,448,113899,17876.615599,17253.278123,8779.708338,0,1.00,1,c4a54cdecc67,117,17
javascript,bytes,document,100,5,protobufjs,7.6.5,33932,83228,155,117160,29470.706118,12015.187197,8535.336292,0,1.00,1,c4a54cdecc67,118,18
javascript,bytes,document,100,5,bebop,3.2.3,23369,13139,547,36508,42791.732637,76109.292945,27391.256711,0,1.00,1,c4a54cdecc67,119,19
javascript,bytes,document,100,6,flexbuffers,24.12.23,177742,104746,579,282488,5626.132259,9546.903939,3539.973379,0,1.00,1,c4a54cdecc67,120,0
javascript,bytes,document,100,6,v8-serializer,v8-13.6.233.17-node.48,10269,11361,403,21630,97380.465479,88020.420738,46232.085067,0,1.00,1,c4a54cdecc67,121,1
javascript,bytes,document,100,6,protobuf-es,2.12.1,79199,60503,155,139702,12626.422051,16528.106044,7158.093656,0,1.00,1,c4a54cdecc67,122,2
javascript,bytes,document,100,6,@msgpack/msgpack,3.1.3,29637,60161,325,89798,33741.606775,16622.064128,11136.105481,0,1.00,1,c4a54cdecc67,123,3
javascript,bytes,document,100,6,JSON.stringify,node-24.15.0,7388,10135,448,17523,135354.629128,98667.982240,57067.853678,0,1.00,1,c4a54cdecc67,124,4
javascript,bytes,document,100,6,protobufjs,7.6.5,42392,44752,155,87144,23589.356482,22345.370039,11475.259341,0,1.00,1,c4a54cdecc67,125,5
javascript,bytes,document,100,6,cbor,9.0.2,139140,111765,332,250905,7187.005893,8947.344875,3985.572229,0,1.00,1,c4a54cdecc67,126,6
javascript,bytes,document,100,6,avsc,5.7.9,39547,20328,114,59875,25286.368119,49193.231011,16701.461378,0,1.00,1,c4a54cdecc67,127,7
javascript,bytes,document,100,6,sia,2.3.0,36291,26121,547,62412,27555.041195,38283.373531,16022.559764,0,1.00,1,c4a54cdecc67,128,8
javascript,bytes,document,100,6,msgpackr,1.12.1,29004,20627,345,49631,34478.003034,48480.147380,20148.697387,0,1.00,1,c4a54cdecc67,129,9
javascript,bytes,document,100,6,devalue,5.8.1,47001,16381,555,63382,21276.143061,61046.334168,15777.350036,0,1.00,1,c4a54cdecc67,130,10
javascript,bytes,document,100,6,bson,6.10.4,30542,31081,493,61623,32741.798180,32173.996976,16227.707187,0,1.00,1,c4a54cdecc67,131,11
javascript,bytes,document,100,6,fast-json-stringify,6.4.0,10638,4615,448,15253,94002.632074,216684.723727,65560.873271,0,1.00,1,c4a54cdecc67,132,12
javascript,bytes,document,100,6,bser,2.1.1,42983,60952,448,103935,23265.011749,16406.352540,9621.397989,0,1.00,1,c4a54cdecc67,133,13
javascript,bytes,document,100,6,bebop,3.2.3,30448,11688,547,42136,32842.879664,85557.837098,23732.675147,0,1.00,1,c4a54cdecc67,134,14
javascript,bytes,document,100,6,google-protobuf,3.21.4,1320,34970,155,36290,757575.757576,28595.939377,27555.800496,0,1.00,1,c4a54cdecc67,135,15
javascript,bytes,document,100,6,cbor-x,1.6.4,34307,34860,234,69167,29148.570263,28686.173264,14457.761649,0,1.00,1,c4a54cdecc67,136,16
javascript,bytes,document,100,6,simdjson-parse+JSON.stringify,0.9.2,5468,42271,448,47739,182882.223848,23656.880604,20947.233918,0,1.00,1,c4a54cdecc67,137,17
javascript,bytes,document,100,6,flatbuffers,24.12.23,62458,25751,416,88209,16010.759230,38833.443361,11336.711673,0,1.00,1,c4a54cdecc67,138,18
javascript,bytes,document,100,6,json-pack-msgpack,18.28.0,25882,20828,337,46710,38636.890503,48012.291147,21408.691929,0,1.00,1,c4a54cdecc67,139,19
javascript,bytes,document,100,7,protobuf-es,2.12.1,68406,42994,155,111400,14618.600708,23259.059404,8976.660682,0,1.00,1,c4a54cdecc67,140,0
javascript,bytes,document,100,7,sia,2.3.0,29947,26226,547,56173,33392.326443,38130.099901,17802.146939,0,1.00,1,c4a54cdecc67,141,1
javascript,bytes,document,100,7,fast-json-stringify,6.4.0,10416,6866,448,17282,96006.144393,145645.208273,57863.673186,0,1.00,1,c4a54cdecc67,142,2
javascript,bytes,document,100,7,google-protobuf,3.21.4,1467,36861,155,38328,681663.258350,27128.943870,26090.586516,0,1.00,1,c4a54cdecc67,143,3
