Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,SizeGzip,SizeZstd,NativeKind,StreamMode,RunOrder,SchedulePosition
python,bytes,document,100,5,avro,1.12.2,17840,8281,114,26121,56053.811659,120758.362517,38283.373531,1121,1.00,1,c4a54cdecc67,137,123,dict,,86,6
python,bytes,document,100,5,dill,0.4.1,156645,16404,452,173049,6383.861598,60960.741283,5778.710076,14770,1.00,1,c4a54cdecc67,319,336,dataclass,,87,7
python,bytes,document,100,5,flatbuffers,25.12.19,101279,26869,416,128148,9873.715183,37217.611374,7803.477229,2638,1.00,1,c4a54cdecc67,267,265,dataclass,,88,8
python,bytes,document,100,5,orjson,3.11.9,1985,3486,448,5471,503778.337531,286861.732645,182781.941144,9821,1.00,1,c4a54cdecc67,229,235,dict,,89,9
python,bytes,document,100,5,mashumaro,3.22,3766,8004,448,11770,265533.722783,124937.531234,84961.767205,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,90,10
python,bytes,document,100,5,pickle,python-3.14.0,13048,8608,452,21656,76640.098099,116171.003717,46176.579239,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,91,11
python,bytes,document,100,5,json,python-3.14.0,12959,9171,448,22130,77166.448028,109039.363210,45187.528242,3200,1.00,1,c4a54cdecc67,229,235,dict,,92,12
python,bytes,document,100,5,msgspec,0.21.1,2041,2670,192,4711,489955.903969,374531.835206,212269.157291,1406,1.00,1,c4a54cdecc67,165,163,struct,,93,13
python,bytes,document,100,5,cloudpickle,3.1.2,30135,7914,452,38049,33184.005309,126358.352287,26281.899656,8946,1.00,1,c4a54cdecc67,319,336,dataclass,,94,14
python,bytes,document,100,5,serpyco-rs,1.21.0,3005,4489,448,7494,332778.702163,222766.763199,133440.085402,9789,1.00,1,c4a54cdecc67,229,235,dataclass,,95,15
python,bytes,document,100,6,cloudpickle,3.1.2,22099,6918,452,29017,45250.916331,144550.448106,34462.556432,8946,1.00,1,c4a54cdecc67,319,336,dataclass,,96,0
python,bytes,document,100,6,msgspec,0.21.1,1251,1922,192,3173,799360.511591,520291.363163,315159.155373,1406,1.00,1,c4a54cdecc67,165,163,struct,,97,1
python,bytes,document,100,6,cbor2,6.1.3,16106,7124,332,23230,62088.662610,140370.578327,43047.783039,3497,1.00,1,c4a54cdecc67,220,224,dict,,98,2
python,bytes,document,100,6,msgspec-msgpack,0.21.1,1533,2285,129,3818,652315.720809,437636.761488,261917.234154,1310,1.00,1,c4a54cdecc67,149,138,struct,,99,3
python,bytes,document,100,6,pickle,python-3.14.0,9258,7148,452,16406,108014.689998,139899.272524,60953.309765,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,100,4
python,bytes,document,100,6,protobuf,7.35.1,2280,2754,155,5034,438596.491228,363108.206245,198649.185538,292,1.00,1,c4a54cdecc67,174,164,message,,101,5
python,bytes,document,100,6,mashumaro,3.22,4039,7677,448,11716,247586.036148,130259.215840,85353.362922,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,102,6
