StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser
Stream,Telemetry,1,0,YAXLib,3100940,617208,4434,3718148,3,16,2
Stream,Telemetry,1,0,SharpYaml,285791,464989,2578,750780,34,21,13
Stream,Telemetry,1,0,Apex.Serialization,9226,4479,1129,13705,1083,2232,729
string,SimpleObject,1,0,MS Binary,103795,66745,408,170540,96,149,58
string,SimpleObject,1,0,MS Bond Compact,5632001,9931,60,5641932,1,1006,1
string,SimpleObject,1,0,MS Bond Fast,5392528,7472,68,5400000,1,1338,1
string,SimpleObject,1,0,MS Bond Json,3598312,10558,93,3608870,2,947,2
string,SimpleObject,1,0,MS DataContract,642049,1996350,384,2638399,15,5,3
string,SimpleObject,1,0,MS DataContract Json,531543,1626731,132,2158274,18,6,4
string,SimpleObject,1,0,MS XmlSerializer,1791183,1462486,307,3253669,5,6,3
string,SimpleObject,1,0,fastJson,323634,397242,251,720876,30,25,13
string,SimpleObject,1,0,Jil,1999799,5568680,99,7568479,5,1,1
string,SimpleObject,1,0,Json.Net (Helper),573791,527102,114,1100893,17,18,9
string,SimpleObject,1,0,Json.Net,13587,12277,115,25864,735,814,386
string,SimpleObject,1,0,FsPickler,892637,285888,236,1178525,11,34,8
string,SimpleObject,1,0,FsPicklerJson,27864,32729,508,60593,358,305,165
string,SimpleObject,1,0,NetJSON,1680086,1210586,103,2890672,5,8,3
string,SimpleObject,1,0,ProtoBuf,789581,294302,60,1083883,12,33,9
string,SimpleObject,1,0,SharpSerializer,4089933,1742573,536,5832506,2,5,1
string,SimpleObject,1,0,ServiceStack Json,908797,513300,99,1422097,11,19,7
string,SimpleObject,1,0,ServiceStack Type,473471,601505,92,1074976,21,16,9
string,SimpleObject,1,0,Ceras,2440990,387831,112,2828821,4,25,3
string,SimpleObject,1,0,CsvHelper,9553764,10431467,84,19985231,1,0,0
string,SimpleObject,1,0,Hyperion,1649894,1412723,152,3062617,6,7,3
string,SimpleObject,1,0,NetSerializer,363554,292514,56,656068,27,34,15
string,SimpleObject,1,0,SpanJson,8206884,85027,104,8291911,1,117,1
string,SimpleObject,1,0,Utf8Json,1073460,883017,104,1956477,9,11,5
string,SimpleObject,1,0,YamlDotNet,254733,167117,95,421850,39,59,23
string,SimpleObject,1,0,YAXLib,221768,138932,159,360700,45,71,27
string,SimpleObject,1,0,MemoryPack,793304,408624,60,1201928,12,24,8
string,SimpleObject,1,0,SharpYaml,235627,134756,97,370383,42,74,26
string,SimpleObject,1,0,GroBuf,8064,12022499,4,12030563,1240,0,0
string,SimpleObject,1,0,Migrant,3949558,7882303,1376,11831861,2,1,0
string,SimpleObject,1,0,Apex.Serialization,1985299,641900,268,2627199,5,15,3
Stream,SimpleObject,1,0,MS Binary,32192,54658,305,86850,310,182,115
Stream,SimpleObject,1,0,MS Bond Compact,16662,8848,43,25510,600,1130,392
Stream,SimpleObject,1,0,MS Bond Fast,8940,9782,50,18722,1118,1022,534
Stream,SimpleObject,1,0,MS Bond Json,10434,10314,93,20748,958,969,481
Stream,SimpleObject,1,0,MS DataContract,27420,30160,288,57580,364,331,173
Stream,SimpleObject,1,0,MS DataContract Json,13667,24167,99,37834,731,413,264
Stream,SimpleObject,1,0,MS XmlSerializer,31854,41760,306,73614,313,239,135
Stream,SimpleObject,1,0,fastJson,19042,18649,251,37691,525,536,265
Stream,SimpleObject,1,0,Jil,10427,6955,99,17382,959,1437,575
Stream,SimpleObject,1,0,Json.Net (Helper),21217,25288,114,46505,471,395,215
Stream,SimpleObject,1,0,Json.Net,4667,6463,115,11130,2142,1547,898
Stream,SimpleObject,1,0,FsPickler,23651,12500,176,36151,422,800,276
Stream,SimpleObject,1,0,FsPicklerJson,16074,33910,381,49984,622,294,200
Stream,SimpleObject,1,0,NetJSON,8376,6867,103,15243,1193,1456,656
Stream,SimpleObject,1,0,ProtoBuf,11246,8562,43,19808,889,1167,504
Stream,SimpleObject,1,0,SharpSerializer,73701,82793,401,156494,135,120,63
Stream,SimpleObject,1,0,ServiceStack Json,17147,21671,99,38818,583,461,257
Stream,SimpleObject,1,0,ServiceStack Type,12186,18702,92,30888,820,534,323
Stream,SimpleObject,1,0,Ceras,8436,29861,84,38297,1185,334,261
Stream,SimpleObject,1,0,CsvHelper,1645658,964068,87,2609726,6,10,3
Stream,SimpleObject,1,0,Hyperion,10142,11206,113,21348,985,892,468
Stream,SimpleObject,1,0,NetSerializer,2594,6680,40,9274,3855,1497,1078
Stream,SimpleObject,1,0,SpanJson,6256442,57578,104,6314020,1,173,1
Stream,SimpleObject,1,0,Utf8Json,15410,29144,104,44554,648,343,224
Stream,SimpleObject,1,0,YamlDotNet,143989,97515,98,241504,69,102,41
Stream,SimpleObject,1,0,YAXLib,198896,127191,162,326087,50,78,30
